product_name,brands,pnns_groups_1,pnns_groups_2,energy-kcal_100g,sugars_100g,fat_100g,saturated-fat_100g,salt_100g,fiber_100g,proteins_100g,nutriscore_grade,nova_group,environmental_score_grade,unique_scans_n
Madeleines ChocoLait,Apple bandit,Sugary snacks,Biscuits and cakes,460.0,31.0,24.0,6.0,0.48,1.4,6.4,e,4,d,1.0
Collagen For Her,Bodylab,unknown,unknown,123.0,0.0,1.76,0.882,0.0882,1.76,1.76,unknown,4,unknown,6.0
Lindt Vollmilch Schokolade,Lindt,unknown,unknown,6.0,0.2,0.3,0.2,0.8,0.1,0.3,unknown,4,unknown,2.0
Multi Patents Collagen Peptides,VEV,Sugary snacks,Biscuits and cakes,350.0,9.09,0.0,0.0,0.0,0.0,90.9,a,3,b,1.0
Fondants Citron,Lindt,Sugary snacks,Sweets,249.0,59.0,0.3,0.05,0.05,2.0,0.5,d,4,b,12.0
Organic Erythritol Granulated,Weight Watchers,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a,4,unknown,6.0
30 Panach' Fruits,"Bijou, Nordischer Roter Glühwein",Beverages,Sweetened beverages,412.0,31.0,18.0,2.0,0.63,1.0,5.0,e,4,unknown,1.0
Peanut Brittle,Berrymans,Sugary snacks,Sweets,443.0,51.5,3.9,2.5,0.0,1.9,7.7,e,4,unknown,1.0
Batido nutricional / Nutricional Shake,Herbalife,unknown,unknown,354.0,9.4,9.0,2.0,1.9,20.0,39.0,not-applicable,4,unknown,1.0
madeleine Bijou ChocoPépites,Bijou,Sugary snacks,Biscuits and cakes,473.0,32.0,25.0,5.0,0.63,2.5,5.8,e,4,a,3.0
bijou cacao,bijou,unknown,unknown,469.0,32.0,25.0,4.0,0.7,2.2,5.8,unknown,4,unknown,1.0
Barrette cioccolato e arachidi 1 barretta 35g.,Herbalife,unknown,unknown,398.0,31.0,12.0,5.2,0.11,1.0,28.0,not-applicable,4,unknown,2.0
Coffret Vendôme T2,live conscious,unknown,unknown,526.0,29.58,38.1,13.41,11.0,4.49,7.55,unknown,4,unknown,1.0
biscuits cuillers,bijou,Sugary snacks,Biscuits and cakes,350.0,48.0,3.5,1.0,0.41,1.2,7.0,e,4,c,1.0
boisson à l'aloe vera,Herbalife,Beverages,Artificially sweetened beverages,12.0,0.0,0.0,0.0,0.1,0.0,0.0,not-applicable,4,c,20.0
soupe à la chinoise  légumes et vermicelles,liebig,Cereals and potatoes,Cereals,20.0,0.5,0.4,0.1,0.86,0.7,0.6,unknown,4,c,1.0
